NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID,geometry,Name,Opening Year
Madron Ln & Bermudez Ct,classic,83fa4699-b2ee-4f14-af3b-167f34a62fb4,,2024-10-22T07:05:34Z,4,0,7,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,DCA-CABI,,38.904415,-77.221807,2024-10-22T07:07:28Z,217277771,"{'type': 'Point', 'coordinates': [-77.22180720720041, 38.90442481031474]}",,
48th Pl & MacArthur Blvd NW,classic,e07eed7c-2d2a-4f13-aff7-2be6500958f7,,2024-10-22T07:05:33Z,1,0,17,8,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.916561,-77.095513,2024-10-22T07:07:28Z,217277772,"{'type': 'Point', 'coordinates': [-77.0955125261058, 38.91656841846482]}",48th Pl & MacArthur Blvd NW,2019.0
18th & M St NW,classic,08249ef2-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:05:33Z,15,0,11,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,"KEY,CREDITCARD",42,DCA-CABI,,38.905067,-77.041779,2024-10-22T07:07:28Z,217277773,"{'type': 'Point', 'coordinates': [-77.04178343900001, 38.90507831280989]}",18th & M St NW,2010.0
39th & Veazey St NW,classic,082544b7-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:05:32Z,15,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.943837,-77.077078,2024-10-22T07:07:28Z,217277774,"{'type': 'Point', 'coordinates': [-77.07708106711695, 38.943841187161304]}",39th & Veazey St NW,2013.0
N Veitch St & Key Blvd,classic,082524a2-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:05:32Z,11,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,DCA-CABI,,38.893237,-77.086063,2024-10-22T07:07:28Z,217277775,"{'type': 'Point', 'coordinates': [-77.08606365040787, 38.893244117209335]}",N Veitch St & Key Blvd,2020.0
15th & K St NW,classic,08253b2b-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:05:31Z,26,0,0,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,"KEY,CREDITCARD",42,DCA-CABI,,38.902,-77.03353,2024-10-22T07:07:28Z,217277776,"{'type': 'Point', 'coordinates': [-77.03352722018822, 38.90200912484437]}",15th & K St NW,2012.0
3rd & H St NW,classic,082493a5-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:05:35Z,6,0,8,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.899408,-77.015289,2024-10-22T07:07:28Z,217277777,"{'type': 'Point', 'coordinates': [-77.0152885457645, 38.8994185281761]}",3rd & H St NW,2010.0
Lamont & Mt Pleasant NW,classic,082477f4-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:05:35Z,4,0,18,17,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,DCA-CABI,,38.9319,-77.0388,2024-10-22T07:07:28Z,217277778,"{'type': 'Point', 'coordinates': [-77.03880048868801, 38.93190615047048]}",Lamont & Mt Pleasant NW,2010.0
South Capitol St and Southern Ave SE,classic,9973e0f4-23dd-4b50-9ef4-8408fa8a1105,,2024-10-22T07:05:31Z,12,0,3,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.821563,-77.001095,2024-10-22T07:07:28Z,217277779,"{'type': 'Point', 'coordinates': [-77.0010962545038, 38.82156874769146]}",,
Court House Metro / 15th St & N Uhle St,classic,0825fa8b-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:05:42Z,14,0,5,4,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,21,"KEY,CREDITCARD",41,DCA-CABI,,38.890612,-77.084801,2024-10-22T07:07:28Z,217277780,"{'type': 'Point', 'coordinates': [-77.08480408047873, 38.89062360071276]}",Court House Metro / 15th St & N Uhle St,2020.0
