,station,change_CRIME_mean,change_CRIME_sem,long,lat
0,83fa4699-b2ee-4f14-af3b-167f34a62fb4,,,-77.221807,38.904415
1,e07eed7c-2d2a-4f13-aff7-2be6500958f7,4.0,,-77.095513,38.916561
2,08249ef2-1f3f-11e7-bf6b-3863bb334450,205.0,,-77.041779,38.905067
3,082544b7-1f3f-11e7-bf6b-3863bb334450,-2.0,,-77.077078,38.943837
4,082524a2-1f3f-11e7-bf6b-3863bb334450,,,-77.086063,38.893237
5,08253b2b-1f3f-11e7-bf6b-3863bb334450,117.0,,-77.03353,38.902
6,082493a5-1f3f-11e7-bf6b-3863bb334450,-20.0,,-77.015289,38.899408
7,082477f4-1f3f-11e7-bf6b-3863bb334450,-110.0,,-77.0388,38.9319
8,9973e0f4-23dd-4b50-9ef4-8408fa8a1105,-11.0,,-77.001095,38.821563
9,0825fa8b-1f3f-11e7-bf6b-3863bb334450,,,-77.084801,38.890612
10,082486f0-1f3f-11e7-bf6b-3863bb334450,157.0,,-77.004169,38.876219
11,0824799f-1f3f-11e7-bf6b-3863bb334450,151.0,,-77.032008,38.913046
12,bcb21167-85ed-4374-8807-d9409aaa01a5,,,-76.9493,38.9698
13,0826005e-1f3f-11e7-bf6b-3863bb334450,16.0,,-77.00356,38.914751
14,a41e5bd2-b599-4c47-a36f-31ffa2e2dd0b,81.0,,-77.020945,38.876747
15,0824844b-1f3f-11e7-bf6b-3863bb334450,29.0,,-77.022327,38.924785
16,0824cdb0-1f3f-11e7-bf6b-3863bb334450,10.0,,-77.07166,38.907837
17,08261ee4-1f3f-11e7-bf6b-3863bb334450,,,-77.086061,38.828471
18,0824bb59-1f3f-11e7-bf6b-3863bb334450,61.0,,-76.993534,38.932457
19,08249b7f-1f3f-11e7-bf6b-3863bb334450,33.0,,-77.028242,38.886277
20,08256e7b-1f3f-11e7-bf6b-3863bb334450,30.0,,-77.026141,38.887332
21,0825756e-1f3f-11e7-bf6b-3863bb334450,,,-77.09221,38.983838
22,2260574d-dbc6-4416-9f8c-3e1fcc0d9f5b,,,-77.132334,38.804486
23,0825aa94-1f3f-11e7-bf6b-3863bb334450,,,-77.159048,39.095661
24,1877753940179542324,-10.0,,-77.086263,38.933899
25,732103a1-eedd-4044-afa6-67b2d192ff22,0.0,,-77.029631,38.916936
26,082636d5-1f3f-11e7-bf6b-3863bb334450,,,-77.219261,38.931911
27,0826518d-1f3f-11e7-bf6b-3863bb334450,,,-77.047788,39.044887
28,1893303738183408178,,,-77.230377,38.881436
29,5f0f9566-90d4-431e-9b6d-994e26d20ec6,-46.0,,-76.983144,38.835737
30,1931715167823202508,-85.0,,-77.041362,38.934784
31,082652d2-1f3f-11e7-bf6b-3863bb334450,,,-77.04735,39.032029
32,0824927c-1f3f-11e7-bf6b-3863bb334450,186.0,,-77.005483,38.905697
33,9c6fb0a8-d371-433f-b52e-ca47881156b3,-36.0,,-77.017585,38.872964
34,0825b27e-1f3f-11e7-bf6b-3863bb334450,,,-77.100239,38.990639
35,e2a96f4c-801e-4cf8-be0f-f767a5d8ca1b,,,-77.051956,38.845028
36,a8ffa826-a14d-4bb0-ab33-de6b8c34d190,,,-77.116206,38.83863
37,08252260-1f3f-11e7-bf6b-3863bb334450,3.0,,-77.032427,38.888553
38,0824a5b0-1f3f-11e7-bf6b-3863bb334450,246.0,,-77.042452,38.903741
39,66c82803-70e3-496f-9942-30e0936de3f5,25.0,,-77.00591,38.871841
40,f8b331c6-d208-4b17-b788-1a17d2520c40,11.0,,-77.026747,38.976061
41,2574f980-163e-4b9b-8107-6145615815b3,45.0,,-77.005741,38.880761
42,a0d0ec92-ebda-436a-b476-7ee9a7bdb67d,-43.0,,-77.021392,38.902674
43,1875305027705686898,,,-77.293922,38.862804
44,07a453e5-2e14-4276-85df-49e0d6144e54,34.0,,-76.947287,38.900468
45,29b65d73-fc99-42e3-9007-2175402a5c56,,,-76.844604,38.899811
46,5b745524-d0d3-4197-8c69-0ad4e5761883,43.0,,-77.050264,38.905303
47,4b55ad18-eb2e-47b5-aaeb-aefd6ad856fd,,,-77.207261,38.897692
48,08265262-1f3f-11e7-bf6b-3863bb334450,,,-77.053085,39.043272
49,347b72fa-4ae2-4017-a9bf-344a122cddeb,,,-77.110588,38.828887
50,0825b8f0-1f3f-11e7-bf6b-3863bb334450,-20.0,,-77.050046,38.923583
51,0824791a-1f3f-11e7-bf6b-3863bb334450,179.0,,-77.034427,38.909801
52,a016ea6f-0d7f-45fb-b8ac-0cfe22cd972a,,,-77.152849,38.873808
53,08263f4a-1f3f-11e7-bf6b-3863bb334450,,,-77.368416,38.955314
54,ae007456-14ad-4619-a92e-e3a40f93a412,-113.0,,-77.03665,38.926102
55,08251532-1f3f-11e7-bf6b-3863bb334450,-13.0,,-77.0251,38.9418
56,0824e2e3-1f3f-11e7-bf6b-3863bb334450,,,-77.050537,38.844015
57,1941813138517442794,-57.0,,-76.980715,38.882458
58,082614e4-1f3f-11e7-bf6b-3863bb334450,,,-77.118009,38.898301
59,082484cf-1f3f-11e7-bf6b-3863bb334450,92.0,,-77.005754,38.875023
60,e84a9c46-89ce-45dc-866f-fe8cbc50e88e,,,-77.044676,38.804801
61,d8f65b11-57ec-4a9f-9b52-f5696e129f02,,,-76.935578,38.962119
62,0824c1a1-1f3f-11e7-bf6b-3863bb334450,-94.0,,-77.000349,38.889955
63,27d919c7-7fda-41d1-9c05-2f537d5c4ce2,,,-76.9595,38.9546
64,08254037-1f3f-11e7-bf6b-3863bb334450,62.0,,-77.048911,38.90088
65,0825738d-1f3f-11e7-bf6b-3863bb334450,,,-77.097426,38.981103
66,1950995089993550758,-124.0,,-76.922783,38.889926
67,de5bd592-0f48-4c6a-b7fc-8ff687c6e1a5,,,-77.16486,39.12333
68,08252414-1f3f-11e7-bf6b-3863bb334450,-43.0,,-77.01994,38.894573
69,2a76806e-32b4-4ec6-a851-f73ba7dafda1,82.0,,-77.008775,38.91256
70,08261245-1f3f-11e7-bf6b-3863bb334450,-4.0,,-76.974828,38.894474
71,99644655-ef85-4e13-a331-a344d88ded32,,,-77.059496,38.853002
72,1999643103701119546,,,-76.949287,38.935388
73,568a84a6-8911-48aa-8ad4-9a1b46564e9d,-83.0,,-77.02791,38.95674
74,63fa246c-6bed-41f0-97eb-d2d7888c1db0,-239.0,,-77.027163,38.936228
75,d1fd7121-67e3-46a9-b415-e84a565394f2,-96.0,,-77.013821,38.958098
76,0824f3d6-1f3f-11e7-bf6b-3863bb334450,,,-77.091862,38.889396
77,082492e1-1f3f-11e7-bf6b-3863bb334450,139.0,,-77.047318,38.905711
78,08263b6d-1f3f-11e7-bf6b-3863bb334450,,,-77.358741,38.959633
79,08249d44-1f3f-11e7-bf6b-3863bb334450,38.0,,-77.022241,38.886266
80,ad6ec1ce-db22-47c1-acf3-507897d40725,-22.0,,-77.087128,38.936298
81,889571f8-5774-4097-a31f-4b6e3f5b4381,,,-77.050105,38.817019
82,0825f622-1f3f-11e7-bf6b-3863bb334450,51.0,,-77.026235,38.898243
83,0824aa39-1f3f-11e7-bf6b-3863bb334450,308.0,,-77.029822,38.900283
84,1900610962867255780,,,-77.220829,38.927943
85,0825388d-1f3f-11e7-bf6b-3863bb334450,85.0,,-77.046564,38.901539
86,08250172-1f3f-11e7-bf6b-3863bb334450,81.0,,-77.041539,38.89968
87,08252a00-1f3f-11e7-bf6b-3863bb334450,,,-77.107854,38.880012
88,141766fa-fa3b-4c61-8e46-a8673c910a0c,,,-77.072558,38.802893
89,082494e7-1f3f-11e7-bf6b-3863bb334450,-60.0,,-76.987907,38.882915
90,3dd9e864-a5fc-4c27-b18e-325226089293,,,-76.952199,38.975505
91,55fc40ce-5be9-4e45-9c84-daacced3c852,-20.0,,-76.986385,38.884058
92,0826176a-1f3f-11e7-bf6b-3863bb334450,-12.0,,-77.084636,38.958267
